Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,1,2,1,-1,-1,-1,1,2,1,1,1,936,0,1
1,2,1,2,0,1,1,1,1,1,2,1,566,0,1
1,2,1,1,0,0,0,1,1,1,3,1,631,1,1
2,1,1,2,1,0,1,1,2,1,4,0,999,0,1
1,1,1,1,1,0,1,1,1,1,5,1,601,1,1
2,1,2,2,1,0,1,1,2,1,6,1,792,1,1
1,2,1,2,1,0,1,1,1,1,7,1,737,0,1
2,1,2,2,1,0,1,1,2,1,8,0,986,1,1
2,2,2,2,0,1,0,1,2,1,9,0,1072,1,1
1,1,2,1,1,0,0,1,2,1,10,1,777,0,1
2,1,2,2,1,0,0,1,2,1,11,1,772,1,1
1,2,1,2,1,0,1,1,1,1,12,1,647,0,1
1,1,2,2,0,1,1,1,2,1,13,0,913,1,1
2,2,1,1,1,0,1,1,1,1,14,1,897,1,1
1,2,1,2,1,1,0,1,1,1,15,1,1192,0,1
2,2,2,2,1,0,1,1,2,1,16,1,675,1,1
1,2,2,2,1,0,0,1,2,1,17,1,1272,1,1
1,2,2,2,0,0,0,1,2,1,18,1,834,1,1
2,2,2,2,1,1,0,1,2,1,19,1,887,1,1
2,2,1,2,0,0,0,1,2,1,20,1,947,0,1
1,1,1,1,1,0,1,1,1,1,21,0,735,1,1
1,2,2,1,0,1,1,1,2,1,22,0,1281,0,1
2,1,2,2,1,0,0,1,2,1,23,1,1344,1,1
1,2,2,2,1,0,0,1,2,1,24,1,722,1,1
2,1,1,2,1,1,0,1,2,1,25,1,827,0,1
1,1,2,2,1,1,0,1,2,1,26,1,731,1,1
2,1,2,2,1,1,0,1,2,1,27,1,982,1,1
2,2,1,1,0,1,1,1,1,1,28,1,1003,1,1
1,2,2,2,1,1,1,1,2,1,29,1,862,1,1
2,1,1,1,1,1,1,1,1,1,30,1,985,1,1
2,2,2,1,0,1,0,1,1,1,31,0,940,0,1
1,2,2,2,1,0,1,1,2,1,32,1,1061,1,1
2,1,1,1,1,1,1,1,1,1,33,0,1421,1,1
1,1,1,2,1,1,0,1,1,1,34,0,1126,0,1
2,2,1,2,1,1,1,1,2,1,35,1,748,0,1
1,2,2,2,1,1,0,1,2,1,36,0,1097,1,1
2,2,2,2,1,1,0,1,2,1,37,1,963,1,1
2,1,2,1,0,1,1,1,1,1,38,1,1160,0,1
1,1,2,2,1,1,1,1,2,1,39,1,1039,1,1
1,1,1,1,0,0,1,1,1,1,40,1,1337,1,1
2,1,1,1,1,0,0,1,1,1,41,1,870,1,1
1,2,2,2,1,1,1,1,2,1,42,1,899,1,1
1,2,2,1,0,0,0,1,2,1,43,1,785,0,1
2,2,1,1,1,1,1,1,1,1,44,1,888,1,1
1,1,1,2,1,0,0,1,1,1,45,1,998,0,1
1,2,1,1,0,1,0,1,1,1,46,1,971,1,1
2,1,2,2,1,0,1,1,2,1,47,1,825,1,1
1,2,2,1,1,0,0,1,2,1,48,1,880,0,1
2,2,2,2,1,1,0,1,2,1,49,1,868,1,1
1,1,1,1,1,1,1,1,1,1,50,1,1120,1,1
2,1,1,1,1,1,0,1,1,1,51,1,1240,1,1
1,2,2,2,1,0,1,1,2,1,52,1,1299,1,1
1,2,1,1,0,0,1,1,1,1,53,1,743,1,1
2,2,2,2,1,1,1,1,2,1,54,1,1022,1,1
1,2,1,1,1,1,1,1,1,1,55,1,817,1,1
2,2,2,2,1,0,1,1,2,1,56,1,1053,1,1
